job_id,symbol,lane,experiment_type,priority,target_positives,target_rate,days_with_target,n_top_rules,best_score,best_f1,best_stability
50,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.304362128883209,0.3157894736842105,0.295012483136935
271,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,173,0.0057757152872834104,3,25,0.2984343379746621,0.30952380952380953,0.2893611339799051
274,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,173,0.0057757152872834104,3,25,0.2984343379746621,0.30952380952380953,0.2893611339799051
133,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2965961201543995,0.5,0.13017476391709
134,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2965961201543995,0.5,0.13017476391709
13,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2886333267164892,0.3157894736842105,0.26641466101562633
349,INTARIAN_PEPPER_ROOT,no_prior,timestamp_window_search,medium,3,0.00010015691249624411,3,25,0.2886333267164892,0.3157894736842105,0.26641466101562633
53,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2885267069951555,0.3,0.2791394672639191
137,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.2885267069951555,0.3,0.2791394672639191
247,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,128,0.004273361599839749,3,25,0.281267746701055,0.2880658436213992,0.2757056674025915
250,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,128,0.004273361599839749,3,25,0.281267746701055,0.2880658436213992,0.2757056674025915
68,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,6,0.00020031382499248823,3,25,0.27839373174680115,0.3,0.2607158759032747
86,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,6,0.00020031382499248823,3,25,0.27839373174680115,0.3,0.2607158759032747
253,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,131,0.004373518512335993,3,25,0.2761027432355441,0.2845528455284553,0.2691890231777077
256,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,131,0.004373518512335993,3,25,0.2761027432355441,0.2845528455284553,0.2691890231777077
265,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,110,0.003672420124862284,3,25,0.27536668679611465,0.288,0.2650303396292993
269,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,110,0.003672420124862284,3,25,0.27536668679611465,0.288,0.2650303396292993
145,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,3,0.00010017697933014993,3,25,0.2715961201543995,0.4444444444444444,0.13017476391709
146,ASH_COATED_OSMIUM,p3_seeded,timestamp_window_search,high,3,0.00010017697933014993,3,25,0.2715961201543995,0.4444444444444444,0.13017476391709
409,ASH_COATED_OSMIUM,no_prior,timestamp_window_search,medium,3,0.00010017697933014993,3,25,0.2715961201543995,0.4444444444444444,0.13017476391709
410,ASH_COATED_OSMIUM,no_prior,timestamp_window_search,medium,3,0.00010017697933014993,3,25,0.2715961201543995,0.4444444444444444,0.13017476391709
60,INTARIAN_PEPPER_ROOT,p3_seeded,timestamp_window_search,high,3,0.00010015691249624411,3,25,0.27136063874571703,0.3,0.24792843408312187
481,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,138,0.00460721797482723,3,25,0.26868572039476174,0.2766798418972332,0.26214507552910327
484,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,138,0.00460721797482723,3,25,0.26868572039476174,0.2766798418972332,0.26214507552910327
487,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,138,0.00460721797482723,3,25,0.26868572039476174,0.2766798418972332,0.26214507552910327
490,INTARIAN_PEPPER_ROOT,no_prior,regime_rule_search,medium,138,0.00460721797482723,3,25,0.26868572039476174,0.2766798418972332,0.26214507552910327
275,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,173,0.0057757152872834104,3,25,0.2673963257909766,0.2785714285714286,0.25825305987969766
251,INTARIAN_PEPPER_ROOT,p3_seeded,regime_rule_search,high,128,0.004273361599839749,3,25,0.2672752601590326,0.2769230769230769,0.2593815918975418
