epoch,train_loss,valid_mse,valid_ic,valid_rank_ic,bag
1,-1.0297619252617132,0.0026257364079356194,-0.03324207305358759,-0.03251264288322106,0
2,-4.190531296839024,0.0022672470659017563,0.020378683124699842,0.008699154606408533,0
3,-9.957669496741584,0.0029102941043674946,0.032767696074816784,0.0010627202135282288,0
4,-0.29386288319727016,0.004362966865301132,0.06302295783728387,0.046738966125912905,0
5,-3.854688834701796,0.001081753638572991,-0.012652977571291768,-0.02487172022940714,0
6,-10.830479136615764,0.0009858246194198728,0.053401634116082154,0.018632755751996567,0
7,-13.400900764376882,0.0010839630849659443,0.004156600283596467,-0.02313872913752843,0
8,-13.636573542645136,0.0009979784954339266,0.045079553984574056,0.01004394084054314,0
9,-13.52425249465533,0.0009539019083604217,0.015901641700799666,-0.004768217102262816,0
10,-13.821977424305691,0.0009514102712273598,0.025550057514569263,-0.0026121740947394998,0
11,-13.838342040340882,0.000970026827417314,0.009322062751119041,-0.01599784808596152,0
12,-13.936969492869016,0.0010199637617915869,0.009885270692455858,-0.014901848994064621,0
13,-13.64386984745214,0.0010797205613926053,0.018971918389735682,0.004975946177668555,0
14,-13.358206948668565,0.0011299517937004566,0.03257727030386663,0.03167426306767487,0
15,-12.93066002693189,0.0023068112786859274,-0.02005724920646984,-0.01196621051808601,0
16,-13.253629911510547,0.0010913331061601639,0.006557201111370154,-0.004168889046536227,0
17,-13.53757354424228,0.001026491983793676,0.036864303156614216,0.029718578332316708,0
18,-13.689453506217014,0.001413494348526001,0.00036573324207765916,0.011292868333257463,0
19,-13.819483513024991,0.0011716110166162252,0.017376505956219732,0.016538219140390012,0
20,-13.80484610384132,0.0010727356420829892,0.000760974281908371,0.010859086599092172,0
21,-14.039544069581412,0.0014636653941124678,0.008376649629048659,0.016246853933087033,0
22,-14.055048203886878,0.0010368649382144213,0.004652941211450658,0.01284638233357198,0
23,-14.185585619574866,0.0010194465285167098,0.01399635555196484,0.021566582720897547,0
24,-14.252349192040295,0.0013367865467444062,0.013414604457758028,0.021859242230528646,0
25,-14.295919310553021,0.0010399332968518138,0.007057988589391839,0.015528476393414838,0
26,-14.387127155924365,0.0010157962096855044,0.020996533946632888,0.029989081810948656,0
27,-14.455169237445782,0.00117364595644176,0.013425989851218973,0.0264668242428192,0
28,-14.485016450632404,0.0010228697210550308,0.024792431157288963,0.03510093242633756,0
29,-14.576885521463227,0.0010333555983379483,0.025675020447487165,0.03526935733977793,0
30,-14.61702877049732,0.0011185001349076629,0.038561535066457826,0.04373466946315583,0
31,-14.656187448315212,0.0010552362073212862,0.022718079374501786,0.03291599453872495,0
32,-14.693547865585524,0.0010811947286128998,0.04798965778803698,0.05189778594893664,0
33,-14.696391403663233,0.0010470162378624082,0.038528573059912204,0.043699259605816186,0
34,-14.741563219927762,0.0010569393634796143,0.030516762311970768,0.03758263872897848,0
35,-14.760378914346912,0.0010490638669580221,0.03775688059235007,0.044526035235573115,0
36,-14.80099673427545,0.0010532664600759745,0.036616202954463495,0.04451870759599462,0
37,-14.223769233731412,0.0015387015882879496,0.06369443888731237,0.066281751852676,0
38,-14.364267801346072,0.0016772293020039797,-0.030529258306681045,-0.016163752332726735,0
39,-14.495238674804446,0.0010934901656582952,0.09855227648746413,0.08522115335503715,0
40,-14.232959280111965,0.0018041889416053891,0.00027607809771922786,0.016772294766733028,0
41,-12.709944922026121,0.0013208291493356228,-0.0036460975737631443,0.015731504277286302,0
42,-14.749236301208576,0.001084115239791572,0.05485020731890282,0.05406155160434046,0
43,-14.71107754772094,0.001134029240347445,0.0432858107280131,0.0465018886479965,0
44,-15.102518132207567,0.0011628824286162853,0.044993815502424275,0.060166645052247565,0
45,-15.197751565941441,0.0011285515502095222,0.06640284309697703,0.069134725227294,0
46,-15.259557191343962,0.0011970937484875321,0.05201471299445593,0.059329174556742824,0
47,-15.342867341599112,0.0011103475699201226,0.07170501266511055,0.07921820808589816,0
48,-15.383064882721321,0.0010961994994431734,0.07991770939732606,0.08501862884457707,0
49,-15.459770921856885,0.001140070497058332,0.06589927415999398,0.07933811279360738,0
50,-15.511782712832158,0.0011366495164111257,0.07013634837007583,0.0784901255615686,0
