product,day,n,mse,mae,ic,rank_ic,sign_acc,pseudo_sharpe
GALAXY_SOUNDS_BLACK_HOLES,2,23,0.00022833979164715856,0.012514298781752586,0.5334608656197207,0.5039525691699606,0.7391304347826086,19.364289775926697
GALAXY_SOUNDS_BLACK_HOLES,3,25,0.002637970494106412,0.04832405596971512,-0.2769223836585022,-0.26153846153846155,0.08,-37.12396435911587
GALAXY_SOUNDS_BLACK_HOLES,4,21,0.004127094056457281,0.05676696449518204,0.0014596965550825799,0.06103896103896104,0.23809523809523808,-27.6610367363938
GALAXY_SOUNDS_DARK_MATTER,2,20,0.0011483533307909966,0.02861972153186798,0.19135338502792415,0.07518796992481201,0.3,-14.131649011494721
GALAXY_SOUNDS_DARK_MATTER,3,20,0.000609539623837918,0.019560977816581726,0.5312145435023593,0.5729323308270676,0.6,4.290039885993754
GALAXY_SOUNDS_DARK_MATTER,4,24,0.000793015060480684,0.024469291791319847,0.46397521398611574,0.40956521739130425,0.6666666666666666,10.99939837159781
GALAXY_SOUNDS_PLANETARY_RINGS,2,19,0.0026817878242582083,0.04790741577744484,-0.22496124126990932,-0.2210526315789474,0.15789473684210525,-26.313409605930936
GALAXY_SOUNDS_PLANETARY_RINGS,3,24,0.0006131519330665469,0.018296336755156517,0.22149234882704133,0.1678260869565217,0.6666666666666666,21.815508762501985
GALAXY_SOUNDS_PLANETARY_RINGS,4,22,0.0007451964193023741,0.021477600559592247,-0.3992687235633134,-0.2693393562958781,0.5909090909090909,-6.051437625491949
GALAXY_SOUNDS_SOLAR_FLAMES,2,22,0.002192416228353977,0.04358173906803131,-0.535161347317119,-0.6228119706380577,0.2727272727272727,-15.167870160567672
GALAXY_SOUNDS_SOLAR_FLAMES,3,24,0.00042766527622006834,0.01600669138133526,-0.025724432957981554,-0.07565217391304348,0.625,11.692354619331912
GALAXY_SOUNDS_SOLAR_FLAMES,4,24,0.00038654718082398176,0.016367599368095398,-0.07401683023245156,-0.3869565217391304,0.75,33.01294323602641
GALAXY_SOUNDS_SOLAR_WINDS,2,24,0.00037306701415218413,0.015998071059584618,0.060659744294878304,0.06956521739130435,0.5833333333333334,10.718769398010654
GALAXY_SOUNDS_SOLAR_WINDS,3,24,0.0005985169555060565,0.021319329738616943,-0.287248232936855,-0.27391304347826084,0.5833333333333334,12.780110787472085
GALAXY_SOUNDS_SOLAR_WINDS,4,23,0.0003035917761735618,0.014548937790095806,0.2961199323413034,0.2766798418972332,0.782608695652174,25.477645667062923
MICROCHIP_CIRCLE,2,23,0.0008143196464516222,0.02211540937423706,-0.3921843452119336,-0.29249011857707513,0.6086956521739131,2.1915211961662386
MICROCHIP_CIRCLE,3,24,0.00039162414032034576,0.01606384478509426,-0.11515699326013777,-0.13304347826086957,0.20833333333333334,-21.881558179620786
