run_id,product,final_pnl,min_pnl,max_pnl,last_mid,final_position,own_trade_count,buy_qty,avg_buy,sell_qty,avg_sell,net_qty,cash_pnl,first_ts,last_ts,non_submission_trade_count
429262,VELVETFRUIT_EXTRACT,1044.234375,-732.09375,1189.453125,5264.0,42,41,157,5259.490445859873,115,5266.895652173913,42,-220047.0,900,97400,18
429262,VEV_4000,0.0,0.0,0.0,1264.0,0,0,0,0.0,0,0.0,0,0.0,1300,98600,8
429262,VEV_4500,0.0,0.0,0.0,764.0,0,0,0,0.0,0,0.0,0,0.0,-1,-1,0
429262,VEV_5000,0.0,0.0,0.0,267.0,0,0,0,0.0,0,0.0,0,0.0,-1,-1,0
429262,VEV_5100,222.8671875,-638.271484375,471.8994140625,176.0,-89,9,0,0.0,89,178.48314606741573,-89,15885.0,2500,84700,0
429262,VEV_5200,593.158203125,-1005.02734375,3541.783203125,102.5,-200,20,0,0.0,200,105.52,-200,21104.0,2100,11500,0
429262,VEV_5300,132.5830078125,-1854.400390625,2760.56640625,50.0,-300,27,0,0.0,300,50.57666666666667,-300,15173.0,0,79300,3
429262,VEV_5400,455.7685546875,-468.9580078125,1694.013916015625,16.0,-300,28,0,0.0,300,17.62,-300,5286.0,2000,79300,9
429262,VEV_5500,103.47216796875,-103.5726318359375,442.7574462890625,6.5,-200,21,0,0.0,200,7.0,-200,1400.0,2500,79300,10
429262,VEV_6000,0.0,0.0,0.0,0.5,0,0,0,0.0,0,0.0,0,0.0,13100,79300,10
429262,VEV_6500,0.0,0.0,0.0,0.5,0,0,0,0.0,0,0.0,0,0.0,13100,79300,10
429262,XIRECS,0.0,0.0,0.0,0.0,-31074,0,0,0.0,0,0.0,0,0.0,-1,-1,0
430025,HYDROGEL_PACK,647.625,-26.33203125,1250.015625,9960.0,-13,18,28,9979.82142857143,41,9989.268292682927,-13,130125.0,10200,97600,2
430025,VELVETFRUIT_EXTRACT,1044.234375,-732.09375,1189.453125,5264.0,42,41,157,5259.490445859873,115,5266.895652173913,42,-220047.0,900,97400,18
430025,VEV_4000,0.0,0.0,0.0,1264.0,0,0,0,0.0,0,0.0,0,0.0,1300,98600,8
430025,VEV_4500,0.0,0.0,0.0,764.0,0,0,0,0.0,0,0.0,0,0.0,-1,-1,0
430025,VEV_5000,0.0,0.0,0.0,267.0,0,0,0,0.0,0,0.0,0,0.0,-1,-1,0
430025,VEV_5100,24.62939453125,-300.84375,592.517578125,176.0,-30,4,0,0.0,30,176.8,-30,5304.0,1700,2100,0
430025,VEV_5200,86.28955078125,-313.2568359375,823.44580078125,102.5,-50,6,0,0.0,50,104.28,-50,5214.0,2100,11400,0
430025,VEV_5300,4297.126953125,-744.400390625,5709.9609375,50.0,283,87,600,45.153333333333336,317,54.261829652996845,283,-9891.0,2500,84700,3
430025,VEV_5400,1897.51806640625,-354.9580078125,2530.7109375,16.0,283,83,600,13.941666666666666,317,18.0,283,-2659.0,2500,84700,9
430025,VEV_5500,0.0,0.0,0.0,6.5,0,0,0,0.0,0,0.0,0,0.0,13100,79300,10
430025,VEV_6000,0.0,0.0,0.0,0.5,0,0,0,0.0,0,0.0,0,0.0,13100,79300,10
430025,VEV_6500,0.0,0.0,0.0,0.5,0,0,0,0.0,0,0.0,0,0.0,13100,79300,10
430025,XIRECS,0.0,0.0,0.0,0.0,-91954,0,0,0.0,0,0.0,0,0.0,-1,-1,0
430350,HYDROGEL_PACK,647.625,-26.33203125,1250.015625,9960.0,-13,18,28,9979.82142857143,41,9989.268292682927,-13,130125.0,10200,97600,2
430350,VELVETFRUIT_EXTRACT,1044.234375,-732.09375,1189.453125,5264.0,42,41,157,5259.490445859873,115,5266.895652173913,42,-220047.0,900,97400,18
430350,VEV_4000,0.0,0.0,0.0,1264.0,0,0,0,0.0,0,0.0,0,0.0,1300,98600,8
430350,VEV_4500,0.0,0.0,0.0,764.0,0,0,0,0.0,0,0.0,0,0.0,-1,-1,0
430350,VEV_5000,0.0,0.0,0.0,267.0,0,0,0,0.0,0,0.0,0,0.0,-1,-1,0
430350,VEV_5100,24.62939453125,-300.84375,592.517578125,176.0,-30,4,0,0.0,30,176.8,-30,5304.0,1700,2100,0
430350,VEV_5200,86.28955078125,-313.2568359375,823.44580078125,102.5,-50,6,0,0.0,50,104.28,-50,5214.0,2100,11400,0
430350,VEV_5300,4297.126953125,-744.400390625,5709.9609375,50.0,283,87,600,45.153333333333336,317,54.261829652996845,283,-9891.0,2500,84700,3
430350,VEV_5400,1897.51806640625,-354.9580078125,2530.7109375,16.0,283,83,600,13.941666666666666,317,18.0,283,-2659.0,2500,84700,9
430350,VEV_5500,0.0,0.0,0.0,6.5,0,0,0,0.0,0,0.0,0,0.0,13100,79300,10
430350,VEV_6000,0.0,0.0,0.0,0.5,0,0,0,0.0,0,0.0,0,0.0,13100,79300,10
430350,VEV_6500,0.0,0.0,0.0,0.5,0,0,0,0.0,0,0.0,0,0.0,13100,79300,10
430350,XIRECS,0.0,0.0,0.0,0.0,-91954,0,0,0.0,0,0.0,0,0.0,-1,-1,0
