symbol,dominant_archetype,time_bucket,side_regime,confidence_bucket,timestamps,mean_candidate_score,max_candidate_score,mean_days_present,mean_event_count,regime_score
INTARIAN_PEPPER_ROOT,1.0,early,mixed,high,1,0.9999641968554878,0.9999641968554878,3.0,6.0,0.7499838885849696
INTARIAN_PEPPER_ROOT,1.0,early,buy,high,46,0.8779272068858718,0.9519997160777321,2.630434782608696,2.630434782608696,0.7032194170116859
INTARIAN_PEPPER_ROOT,1.0,early,buy,medium,6,0.9240220679161523,0.9305480771480131,3.0,3.0,0.6683099305622686
INTARIAN_PEPPER_ROOT,1.0,early,sell,high,43,0.8296098326970767,0.9519967163151314,2.488372093023256,2.488372093023256,0.6569290758764751
INTARIAN_PEPPER_ROOT,1.0,early,sell,low,2,0.8764877277993829,0.8803515414819413,3.0,3.0,0.6369194775097223
INTARIAN_PEPPER_ROOT,1.0,late,sell,high,101,0.6640360052528972,0.9519999763027914,1.7326732673267327,1.7326732673267327,0.6367369944430116
ASH_COATED_OSMIUM,1.0,mid,mixed,high,1,0.7448138795292665,0.7448138795292665,3.0,5.0,0.6351662457881699
ASH_COATED_OSMIUM,1.0,early,sell,high,87,0.7259867353027535,0.9519980319302547,2.0229885057471266,2.045977011494253,0.6004125770185783
INTARIAN_PEPPER_ROOT,1.0,late,buy,high,94,0.6439823677341712,0.9519998165630935,1.6382978723404256,1.6382978723404256,0.5988878101612282
INTARIAN_PEPPER_ROOT,1.0,mid,sell,high,97,0.6372080366371767,0.9519822180330739,1.5876288659793814,1.5876288659793814,0.5972590804042553
ASH_COATED_OSMIUM,1.0,early,buy,high,86,0.7225087962610703,0.9921499531475425,2.011627906976744,2.0813953488372094,0.5969077138171675
INTARIAN_PEPPER_ROOT,1.0,mid,buy,high,90,0.652616023022977,0.951999878854995,1.6666666666666667,1.6666666666666667,0.5961772103603397
ASH_COATED_OSMIUM,1.0,early,sell,medium,18,0.8224895806632129,0.9418362731570363,2.5555555555555554,2.6666666666666665,0.5960587497368842
ASH_COATED_OSMIUM,1.0,early,buy,medium,16,0.8074438421646017,0.940693428407604,2.5,2.5,0.5761875668119086
INTARIAN_PEPPER_ROOT,1.0,early,mixed,medium,1,0.6549801880135107,0.6549801880135107,3.0,5.0,0.5747410846060799
ASH_COATED_OSMIUM,1.0,mid,sell,high,108,0.6681326161553323,0.9519970328141446,1.7407407407407407,1.7407407407407407,0.5739955131057354
ASH_COATED_OSMIUM,1.0,mid,buy,high,95,0.6845380825726441,0.9519970129056271,1.8421052631578947,1.8526315789473684,0.5723522367309473
INTARIAN_PEPPER_ROOT,1.0,early,sell,medium,2,0.8535033934253795,0.9270364829869723,2.5,2.5,0.5665765270414209
ASH_COATED_OSMIUM,1.0,late,buy,high,149,0.5498194296329303,0.9519996379724606,1.3825503355704698,1.4026845637583893,0.5457408909858253
ASH_COATED_OSMIUM,1.0,late,buy,medium,5,0.7909348053471591,0.9312188032740931,2.4,2.4,0.5376774191629784
ASH_COATED_OSMIUM,1.0,late,sell,medium,7,0.7443583280093533,0.931232336559278,2.4285714285714284,2.4285714285714284,0.5236678113107727
ASH_COATED_OSMIUM,1.0,mid,sell,medium,13,0.7616375694550753,0.9410934829049538,2.230769230769231,2.230769230769231,0.5168533303712081
ASH_COATED_OSMIUM,1.0,late,sell,high,141,0.5333524322418447,0.9519999058130312,1.3049645390070923,1.3191489361702127,0.5149702583002811
INTARIAN_PEPPER_ROOT,1.0,late,sell,medium,7,0.7884156704671472,0.9035570566284846,2.142857142857143,2.142857142857143,0.5069299088530734
ASH_COATED_OSMIUM,0.0,early,buy,high,1,0.7421564739882218,0.7421564739882218,2.0,2.0,0.4589704132946999
ASH_COATED_OSMIUM,0.0,mid,sell,medium,4,0.7229209914667721,0.7302815848362166,2.0,2.0,0.455382013727615
INTARIAN_PEPPER_ROOT,1.0,late,sell,low,2,0.7305681469428029,0.7511821897663377,2.0,2.0,0.4512556661242614
ASH_COATED_OSMIUM,0.0,mid,buy,medium,1,0.7163642785691912,0.7163642785691912,2.0,2.0,0.447363925356136
ASH_COATED_OSMIUM,0.0,early,sell,medium,1,0.7126584825412781,0.7126584825412781,2.0,2.0,0.44569631714357516
INTARIAN_PEPPER_ROOT,0.0,mid,sell,medium,1,0.7220639841979251,0.7220639841979251,2.0,2.0,0.4449287928890663
INTARIAN_PEPPER_ROOT,0.0,late,buy,medium,1,0.71935751610476,0.71935751610476,2.0,2.0,0.44371088224714206
INTARIAN_PEPPER_ROOT,0.0,mid,buy,medium,1,0.7172542367856202,0.7172542367856202,2.0,2.0,0.4427644065535291
ASH_COATED_OSMIUM,1.0,early,sell,low,8,0.6712582492317851,0.7578002383176753,2.0,2.0,0.43889053647862764
INTARIAN_PEPPER_ROOT,0.0,mid,sell,low,1,0.6801990399512305,0.6801990399512305,2.0,2.0,0.42608956797805375
INTARIAN_PEPPER_ROOT,1.0,mid,buy,medium,7,0.6842296330567186,0.7865149077669588,1.8571428571428572,1.8571428571428572,0.42576047773266623
INTARIAN_PEPPER_ROOT,1.0,late,buy,medium,11,0.6727626545626542,0.7823010689726376,1.7272727272727273,1.7272727272727273,0.4150159218259217
INTARIAN_PEPPER_ROOT,1.0,mid,sell,medium,7,0.6717761948541543,0.7632151925076954,1.7142857142857142,1.7142857142857142,0.4030135733986551
ASH_COATED_OSMIUM,1.0,late,mixed,high,4,0.6001735400467281,0.615995824876032,2.0,2.0,0.40014566058859524
ASH_COATED_OSMIUM,1.0,mid,buy,medium,9,0.6067021530501923,0.9019299499497133,1.7777777777777777,1.7777777777777777,0.3837517046083222
ASH_COATED_OSMIUM,1.0,late,mixed,medium,1,0.5492138567085076,0.5492138567085076,2.0,2.0,0.37214623551882847
INTARIAN_PEPPER_ROOT,1.0,late,buy,low,4,0.6011145420453108,0.7591523957977162,1.75,1.75,0.3680015439203899
ASH_COATED_OSMIUM,1.0,mid,sell,low,6,0.5402912711526513,0.9098542875821733,1.5,1.5,0.31407701796463905
ASH_COATED_OSMIUM,1.0,mid,buy,low,9,0.5293691373603836,0.9114366236123607,1.4444444444444444,1.4444444444444444,0.3072851808812417
INTARIAN_PEPPER_ROOT,1.0,mid,sell,low,4,0.5120067762195486,0.7046310031651049,1.5,1.5,0.2979030492987969
ASH_COATED_OSMIUM,1.0,late,buy,low,6,0.4832265499140785,0.9073647255963819,1.3333333333333333,1.3333333333333333,0.2675645600739479
ASH_COATED_OSMIUM,0.0,late,buy,medium,1,0.4284955928062505,0.4284955928062505,1.0,1.0,0.19282301676281272
ASH_COATED_OSMIUM,0.0,late,sell,medium,1,0.42498688412485097,0.42498688412485097,1.0,1.0,0.19124409785618293
ASH_COATED_OSMIUM,0.0,mid,sell,low,2,0.418222746447925,0.4217551615963001,1.0,1.0,0.18988942509075546
ASH_COATED_OSMIUM,0.0,early,sell,low,1,0.41232822899665056,0.41232822899665056,1.0,1.0,0.18554770304849275
ASH_COATED_OSMIUM,0.0,late,buy,low,4,0.39718316879856674,0.420694768018373,1.0,1.0,0.1837999935269226
ASH_COATED_OSMIUM,1.0,early,buy,low,5,0.38879616694324487,0.3935881207459032,1.0,1.0,0.18171503188121696
INTARIAN_PEPPER_ROOT,0.0,late,buy,low,1,0.39980713230997156,0.39980713230997156,1.0,1.0,0.1799132095394872
INTARIAN_PEPPER_ROOT,1.0,mid,buy,low,2,0.3921682942089279,0.39328148401739094,1.0,1.0,0.17897573239401757
ASH_COATED_OSMIUM,1.0,late,sell,low,1,0.3932940905089459,0.3932940905089459,1.0,1.0,0.17698234072902566
ASH_COATED_OSMIUM,0.0,late,sell,low,1,0.3791171007205735,0.3791171007205735,1.0,1.0,0.17060269532425806
ASH_COATED_OSMIUM,,late,mixed,low,16,0.18,0.18,1.0,1.0,0.10633783783783785
ASH_COATED_OSMIUM,,mid,mixed,low,8,0.18,0.18,1.0,1.0,0.09282432432432433
INTARIAN_PEPPER_ROOT,,late,mixed,low,4,0.18,0.18,1.0,1.0,0.0885
INTARIAN_PEPPER_ROOT,,mid,mixed,low,3,0.18000000000000002,0.18,1.0,1.0,0.08600000000000002
