case,days,ticks,total_pnl,max_drawdown,fill_count,ending_abs_position
day_2,2,1000,-10734.5,-16500.0,201,119
day_3,3,1000,20910.0,-9351.5,172,105
day_4,4,1000,33443.0,-7951.5,185,123
train_days_2_3,"2,3",2000,9773.0,-16500.0,385,105
validation_day_4,4,1000,33443.0,-7951.5,185,123
ablation_no_snackpack,4,1000,28175.0,-8375.0,98,111
ablation_snackpack_only,4,1000,589.0,-1255.0,145,20
ablation_no_weak_name_confirm,4,1000,33443.0,-7951.5,185,123
perturb_looser_micro,4,1000,33443.0,-7951.5,185,123
perturb_base_micro,4,1000,33443.0,-7951.5,185,123
perturb_stricter_micro,4,1000,33443.0,-7951.5,185,123
perturb_snack_limit_2,4,1000,30753.0,-8027.0,161,117
perturb_snack_limit_6,4,1000,33153.5,-7760.0,176,114
perturb_ema_fast_slow_down,4,1000,31771.0,-8441.5,180,123
perturb_ema_fast_speed_up,4,1000,35704.0,-8084.0,204,118
